Gene,Symbol,Pathway,Phase_Relevance,Evidence_Source,Log2FC_Thompson,FDR_Thompson,Druggability,Description,Network_Hub_Score,V3_Score,V3_Rank
ARG1,ARG1,macrophage_polarization,Carrier,Literature,,,Moderate,M2 marker arginase,0.2125454545454545,0.46,29
TNFAIP3,A20,nfkb_pathway,Acute,Thompson2009,1.15,0.001,Moderate,NFkB negative regulator,0.0,0.4435,30
SLC40A1,Ferroportin,iron_homeostasis,Both,Literature,,,Moderate,Iron export,0.0,0.44,31
RELA,p65,nfkb_pathway,Acute,Literature,,,Moderate,NFkB subunit,0.0,0.43,32
NFKB1,NFkB,nfkb_pathway,Acute,Thompson2009,0.95,0.002,Moderate,Transcription factor,0.0,0.4169,33
NCF1,p47phox,oxidative_stress,Acute,Literature,,,Moderate,NADPH oxidase regulatory,0.0,0.415,34
LAMP2,LAMP2,phagosome_maturation,Both,Literature,,,Low,Lysosomal marker,0.1950909090909091,0.4015,35
IL12B,IL12p40,cytokine_signaling,Acute,Thompson2009,0.72,0.01,Moderate,Th1 inducer,0.0,0.3982,36
CYBB,gp91phox,oxidative_stress,Acute,Thompson2009,0.95,0.003,Moderate,NADPH oxidase catalytic,0.0,0.3969,37
TGFB1,TGFb,cytokine_signaling,Carrier,Literature,,,Moderate,Immunosuppressive,0.0,0.395,38
TFRC,TfR1,iron_homeostasis,Both,Thompson2009,0.68,0.02,Moderate,Transferrin receptor,0.0,0.3847,39
PYCARD,ASC,inflammasome,Acute,Literature,,,Low,Inflammasome adaptor,0.0,0.375,40
MAP1LC3B,LC3B,autophagy,Both,Literature,,,Low,Autophagosome marker,0.0,0.37,41
SOD2,MnSOD,oxidative_stress,Acute,Thompson2009,0.72,0.015,Moderate,ROS detoxification,0.0,0.3644,42
RAB5A,RAB5,phagosome_maturation,Both,Literature,,,Low,Early endosome,0.0,0.3625,43
CD163,CD163,macrophage_polarization,Carrier,Literature,,,Low,M2 scavenger receptor,0.1590909090909091,0.3493,44
FTH1,Ferritin,iron_homeostasis,Both,Literature,,,Low,Iron storage,0.0,0.34,45
SLC11A1,NRAMP1,iron_homeostasis,Both,Literature,,,Low,Phagosomal iron export,0.0,0.34,46
NFKBIA,IkBa,nfkb_pathway,Acute,Literature,,,Low,NFkB inhibitor,0.0,0.33,47
CAT,Catalase,oxidative_stress,Both,Literature,,,Low,H2O2 detoxification,0.0,0.295,48
